secondary_substation_unique_id,latitude,longitude
SSEN-2512004040,51.48607,-0.31147
SSEN-2512004050,51.483148,-0.309626
SSEN-2512004050,51.483148,-0.309626
SSEN-2512004060,51.482848,-0.310588
SSEN-2512004070,51.483926,-0.310743
SSEN-2512004220,51.48516,-0.311515
SSEN-2512004220,51.48516,-0.311515
SSEN-2512007035,51.486859,-0.308171
SSEN-2512007035,51.486859,-0.308171
SSEN-2512007035,51.486859,-0.308171
SSEN-2512007045,51.484184,-0.305375
SSEN-2512007085,51.484557,-0.302291
SSEN-2512007085,51.484557,-0.302291
SSEN-2512007085,51.484557,-0.302291
SSEN-2512007095,51.483592,-0.301547
SSEN-2512007115,51.485242,-0.302052
SSEN-2512007115,51.485242,-0.302052
SSEN-2512007125,51.484881,-0.300726
SSEN-2512007125,51.484881,-0.300726
SSEN-2512008010,51.491692,-0.304693
SSEN-2512008010,51.491692,-0.304693
SSEN-2512008040,51.494965,-0.301604
SSEN-2512008040,51.494965,-0.301604
SSEN-2512008040,51.494965,-0.301604
SSEN-2512008040,51.494965,-0.301604
SSEN-2512008060,51.493773,-0.308693
SSEN-2512008060,51.493773,-0.308693
SSEN-2512008070,51.495104,-0.311208
SSEN-2512008070,51.495104,-0.311208
SSEN-2512008070,51.495104,-0.311208
SSEN-2512008070,51.495104,-0.311208
SSEN-2512008070,51.495104,-0.311208
SSEN-2512008080,51.495735,-0.306301
SSEN-2512008080,51.495735,-0.306301
SSEN-2512008080,51.495735,-0.306301
SSEN-2512008090,51.498287,-0.308713
SSEN-2512008090,51.498287,-0.308713
SSEN-2512008090,51.498287,-0.308713
SSEN-2512008090,51.498287,-0.308713
SSEN-2512008100,51.497624,-0.312613
SSEN-2512008100,51.497624,-0.312613
SSEN-2512008100,51.497624,-0.312613
SSEN-2512008100,51.497624,-0.312613
SSEN-2512008100,51.497624,-0.312613
SSEN-2512008110,51.496474,-0.315162
SSEN-2512008110,51.496474,-0.315162
SSEN-2512008110,51.496474,-0.315162
SSEN-2512008130,51.499712,-0.31523
SSEN-2512008130,51.499712,-0.31523
SSEN-2512008130,51.499712,-0.31523
SSEN-2512008130,51.499712,-0.31523
SSEN-2512012010,51.490301,-0.304889
SSEN-2512012010,51.490301,-0.304889
SSEN-2512012020,51.488602,-0.301841
SSEN-2512012020,51.488602,-0.301841
SSEN-2512012040,51.486278,-0.299089
SSEN-2512012040,51.486278,-0.299089
SSEN-2512012040,51.486278,-0.299089
