lv_feeder_unique_id,substation_id
SSEN-251201413001,SSEN-2512014130
SSEN-251201413003,SSEN-2512014130
SSEN-251201413004,SSEN-2512014130
SSEN-251201414001,SSEN-2512014140
SSEN-251201414004,SSEN-2512014140
SSEN-251201414005,SSEN-2512014140
SSEN-251201415001,SSEN-2512014150
SSEN-251201416001,SSEN-2512014160
SSEN-251201419002,SSEN-2512014190
SSEN-251201419004,SSEN-2512014190
SSEN-251201419006,SSEN-2512014190
SSEN-251201420002,SSEN-2512014200
SSEN-251201420003,SSEN-2512014200
SSEN-251201421001,SSEN-2512014210
SSEN-251201421003,SSEN-2512014210
SSEN-251201421004,SSEN-2512014210
SSEN-252100812002,SSEN-2521008120
SSEN-252100812003,SSEN-2521008120
SSEN-252100814002,SSEN-2521008140
SSEN-252100814003,SSEN-2521008140
SSEN-252100814004,SSEN-2521008140
SSEN-252100814005,SSEN-2521008140
SSEN-252102104001,SSEN-2521021040
SSEN-252102104002,SSEN-2521021040
SSEN-252102104003,SSEN-2521021040
SSEN-252600510001,SSEN-2526005100
SSEN-252600510002,SSEN-2526005100
SSEN-252600510003,SSEN-2526005100
SSEN-252600510004,SSEN-2526005100
SSEN-252600706001,SSEN-2526007060
SSEN-252600706002,SSEN-2526007060
SSEN-252600706003,SSEN-2526007060
SSEN-252600803001,SSEN-2526008030
SSEN-252600803002,SSEN-2526008030
SSEN-252600803003,SSEN-2526008030
SSEN-252600803004,SSEN-2526008030
SSEN-252600803005,SSEN-2526008030
SSEN-252600803006,SSEN-2526008030
SSEN-252600904001,SSEN-2526009040
SSEN-252600904002,SSEN-2526009040
SSEN-252600904005,SSEN-2526009040
SSEN-252600906003,SSEN-2526009060
SSEN-252600906004,SSEN-2526009060
SSEN-252600908002,SSEN-2526009080
SSEN-252600908003,SSEN-2526009080
SSEN-252600908004,SSEN-2526009080
SSEN-252600912001,SSEN-2526009120
SSEN-252600912003,SSEN-2526009120
SSEN-252600924005,SSEN-2526009240
SSEN-252601001002,SSEN-2526010010
SSEN-252601001003,SSEN-2526010010
SSEN-252601001004,SSEN-2526010010
SSEN-252601003001,SSEN-2526010030
SSEN-252601003002,SSEN-2526010030
SSEN-252601003003,SSEN-2526010030
SSEN-252601003004,SSEN-2526010030
SSEN-252601003005,SSEN-2526010030
SSEN-252601004002,SSEN-2526010040
SSEN-252601004003,SSEN-2526010040
SSEN-252601004004,SSEN-2526010040
SSEN-252601701001,SSEN-2526017010
SSEN-252601701002,SSEN-2526017010
SSEN-252601701003,SSEN-2526017010
SSEN-252601702001,SSEN-2526017020
SSEN-252601702002,SSEN-2526017020
SSEN-252800136001,SSEN-2528001360
SSEN-252800136002,SSEN-2528001360
SSEN-252800136003,SSEN-2528001360
SSEN-252800138001,SSEN-2528001380
SSEN-252800138003,SSEN-2528001380
SSEN-252800140001,SSEN-2528001400
SSEN-252800142002,SSEN-2528001420
SSEN-252800144001,SSEN-2528001440
SSEN-252800144002,SSEN-2528001440
SSEN-252800144005,SSEN-2528001440
SSEN-252801203001,SSEN-2528012030
SSEN-252801203002,SSEN-2528012030
SSEN-252801204001,SSEN-2528012040
SSEN-252801204002,SSEN-2528012040
SSEN-252801205001,SSEN-2528012050
SSEN-252801205002,SSEN-2528012050
SSEN-252801205003,SSEN-2528012050
SSEN-252801205004,SSEN-2528012050
SSEN-252801205005,SSEN-2528012050
SSEN-252801206001,SSEN-2528012060
SSEN-252801206004,SSEN-2528012060
SSEN-252801207001,SSEN-2528012070
SSEN-252801207002,SSEN-2528012070
SSEN-252801207003,SSEN-2528012070
SSEN-252801207004,SSEN-2528012070
SSEN-252801207005,SSEN-2528012070
SSEN-252900102001,SSEN-2529001020
SSEN-252900102002,SSEN-2529001020
SSEN-252900102003,SSEN-2529001020
SSEN-252900102004,SSEN-2529001020
SSEN-252900104002,SSEN-2529001040
SSEN-252900104003,SSEN-2529001040
SSEN-252900104004,SSEN-2529001040
SSEN-252900104005,SSEN-2529001040
SSEN-252900104007,SSEN-2529001040
SSEN-252900112002,SSEN-2529001120
SSEN-252900114001,SSEN-2529001140
SSEN-252900114002,SSEN-2529001140
SSEN-252900114003,SSEN-2529001140
SSEN-252900114004,SSEN-2529001140
SSEN-252900116002,SSEN-2529001160
SSEN-252900116004,SSEN-2529001160
SSEN-252900118001,SSEN-2529001180
SSEN-252900118002,SSEN-2529001180
SSEN-252900118003,SSEN-2529001180
SSEN-252900118004,SSEN-2529001180
SSEN-252900118006,SSEN-2529001180
SSEN-252900130001,SSEN-2529001300
SSEN-252900130002,SSEN-2529001300
SSEN-252900134001,SSEN-2529001340
SSEN-252900134002,SSEN-2529001340
SSEN-252900140002,SSEN-2529001400
SSEN-252900140003,SSEN-2529001400
SSEN-252900140004,SSEN-2529001400
SSEN-252900140005,SSEN-2529001400
SSEN-252900142001,SSEN-2529001420
SSEN-252900142003,SSEN-2529001420
SSEN-252900142004,SSEN-2529001420
SSEN-252900144003,SSEN-2529001440
SSEN-252900144006,SSEN-2529001440
SSEN-252900144007,SSEN-2529001440
SSEN-252900144009,SSEN-2529001440
SSEN-252900144011,SSEN-2529001440
SSEN-252900146002,SSEN-2529001460
SSEN-252900146004,SSEN-2529001460
SSEN-252900146005,SSEN-2529001460
SSEN-252900147005,SSEN-2529001470
SSEN-252900150001,SSEN-2529001500
SSEN-252900216004,SSEN-2529002160
SSEN-252900216005,SSEN-2529002160
SSEN-252900229001,SSEN-2529002290
SSEN-252900229003,SSEN-2529002290
SSEN-252900229004,SSEN-2529002290
SSEN-252900230001,SSEN-2529002300
SSEN-252900230003,SSEN-2529002300
SSEN-252900230004,SSEN-2529002300
SSEN-252900230005,SSEN-2529002300
SSEN-252900231001,SSEN-2529002310
SSEN-252900231002,SSEN-2529002310
SSEN-252900232002,SSEN-2529002320
SSEN-252900232003,SSEN-2529002320
SSEN-252900232004,SSEN-2529002320
SSEN-252900233001,SSEN-2529002330
SSEN-252900233002,SSEN-2529002330
SSEN-252900234001,SSEN-2529002340
SSEN-252900234002,SSEN-2529002340
SSEN-252900234003,SSEN-2529002340
SSEN-252900234004,SSEN-2529002340
SSEN-252900235001,SSEN-2529002350
SSEN-252900235002,SSEN-2529002350
SSEN-252900235003,SSEN-2529002350
SSEN-252900235004,SSEN-2529002350
SSEN-252900236001,SSEN-2529002360
SSEN-252900236002,SSEN-2529002360
SSEN-252900236003,SSEN-2529002360
SSEN-252900236004,SSEN-2529002360
SSEN-252900237001,SSEN-2529002370
SSEN-252900237002,SSEN-2529002370
SSEN-252900237003,SSEN-2529002370
SSEN-252900237004,SSEN-2529002370
SSEN-252900238001,SSEN-2529002380
SSEN-252900238003,SSEN-2529002380
SSEN-252900238004,SSEN-2529002380
SSEN-252900408001,SSEN-2529004080
SSEN-252900408002,SSEN-2529004080
SSEN-252900408003,SSEN-2529004080
SSEN-252900408004,SSEN-2529004080
SSEN-252900408006,SSEN-2529004080
SSEN-252900414001,SSEN-2529004140
SSEN-252900414002,SSEN-2529004140
SSEN-252900416001,SSEN-2529004160
SSEN-252900416002,SSEN-2529004160
SSEN-252900416003,SSEN-2529004160
SSEN-252900416004,SSEN-2529004160
SSEN-252900416005,SSEN-2529004160
SSEN-252900420001,SSEN-2529004200
SSEN-252900422001,SSEN-2529004220
SSEN-252900422002,SSEN-2529004220
SSEN-252900904001,SSEN-2529009040
SSEN-252900904003,SSEN-2529009040
SSEN-252900904006,SSEN-2529009040
SSEN-252900906001,SSEN-2529009060
SSEN-252900906002,SSEN-2529009060
SSEN-252900906003,SSEN-2529009060
SSEN-252900906004,SSEN-2529009060
SSEN-252900910002,SSEN-2529009100
SSEN-252900910006,SSEN-2529009100
SSEN-252900912002,SSEN-2529009120
SSEN-252900916001,SSEN-2529009160
SSEN-252900916002,SSEN-2529009160
SSEN-252900916003,SSEN-2529009160
SSEN-252900916004,SSEN-2529009160
SSEN-252900918001,SSEN-2529009180
SSEN-252900918002,SSEN-2529009180
SSEN-252900918003,SSEN-2529009180
SSEN-252900918004,SSEN-2529009180
SSEN-252900920003,SSEN-2529009200
