Feeder,Model,MSE,RMSE,MAE,MAPE,R2
SSEN-282201002002,Persistence,3078990.2852348993,1754.7051847062228,1372.2986577181207,19.649770638739298,0.04495098316294599
SSEN-282201002004,Naive,6400611.718120804,2529.943026655107,2122.731543624161,22.013195761689712,-0.03646152677710379
SSEN-282201002005,Naive,6869040.946308722,2620.885527127944,2205.0671140939594,65.26700852941069,-1.2972835261032198
SSEN-282201002003,Mean (1 day),4662339.743163336,2159.2451790297773,1763.7003635346762,23.372016913224343,-0.02608071592811556
SSEN-282201002004,Mean (1 day),6188794.48477407,2487.728780388664,2080.081935123042,22.375775413166178,-0.0021616156528725394
SSEN-282201002005,Mean (1 day),3124645.1222967915,1767.666575544379,1478.2796420581653,39.86478792198505,-0.04500698430522698
SSEN-282201002003,Persistence,3553141.033557048,1884.9777276023842,1462.3691275167785,17.43214232920107,0.2180300672314054
SSEN-282201002004,Persistence,4654945.869127515,2157.5323564497276,1683.929530201342,16.777215708150376,0.2462170000218069
SSEN-282201002005,Persistence,1437084.3087248318,1198.7845130484593,965.1275167785235,21.954914027335338,0.5193812158261937
SSEN-282201002004,ARIMA,3093261.4859801163,1758.7670357327363,1414.7686290094384,16.010666067959963,0.499103107066609
SSEN-282201002001,ARIMA,7198533.213744523,2683.008239596838,2240.6754161992744,15.871041737795732,0.3668236636094169
SSEN-282201002002,ARIMA,2451847.584488013,1565.837662239612,1189.4773421330397,16.01805610140247,0.2394796968900028
SSEN-282201002003,ARIMA,2726869.644119049,1651.323603694639,1385.730732612511,18.064327327097608,0.3998746314480459
SSEN-282201002005,ARIMA,1181335.3659777846,1086.8925273355158,857.368356053057,19.5414460796062,0.6049139470449285
SSEN-282201002004,Boosting,8606199.859899048,2933.632536617197,2455.404375963081,26.873371676895747,-0.39361602286956754
SSEN-282201002004,Prophet,3492413.579938393,1868.8000374407084,1498.3884364196585,16.243640695199158,0.4344677554877857
SSEN-282201002001,Boosting,9051681.414743511,3008.601238905467,2412.360845129901,15.39811528784735,0.20382245852266856
SSEN-282201002002,Boosting,3642952.7674214086,1908.6520812922947,1542.7301617517603,23.571932684107487,-0.1299803301081901
SSEN-282201002001,Prophet,7741220.737803542,2782.304932570034,2188.860058145575,15.076338308974622,0.31908936995741544
SSEN-282201002002,Prophet,2348083.6942578177,1532.3458141874562,1199.568361861247,17.03916011845619,0.2716654435689584
SSEN-282201002003,Boosting,5818764.642785676,2412.211566754806,1945.2823198021374,26.103686617586035,-0.28058496793196186
SSEN-282201002003,Prophet,2514703.5028805616,1585.7816693607483,1300.435459092786,16.344693122577755,0.44656783659615185
SSEN-282201002005,Boosting,1721563.9144647296,1312.0838061895015,1041.2095510114423,24.335103200973126,0.42423979551921476
SSEN-282201002005,Prophet,2875995.40842135,1695.8760003082036,1445.0184106238614,37.304739345650276,0.03815147928833951
SSEN-282202803001,Naive,36078640.67449664,6006.549814535516,5287.587248322147,66.77129184603248,-3.1897549891090975
SSEN-282202803002,Naive,5157859.765100671,2271.09219652146,1866.1275167785234,54.21585992327728,-0.2534056759388632
SSEN-282202803001,Mean (1 day),26758449.098728202,5172.856957110665,4416.812639821028,56.81068216684836,-2.107416008925964
